layer,head,val_acc,train_acc
19,8,0.8910505771636963,0.90183025598526
14,4,0.7276264429092407,0.7720465660095215
15,27,0.7120622396469116,0.780366063117981
15,26,0.6536964774131775,0.6772046089172363
20,4,0.6381322741508484,0.6705490350723267
19,9,0.6147859692573547,0.6555740237236023
3,22,0.5992217659950256,0.6056572198867798
14,18,0.5875486135482788,0.6089850068092346
19,17,0.5797665119171143,0.5540765523910522
15,11,0.5603112578392029,0.6272878646850586
15,15,0.5019454956054688,0.5024958252906799
21,5,0.4785992205142975,0.5108152627944946
15,13,0.4474708139896393,0.470881849527359
8,27,0.443579763174057,0.4026622176170349
14,23,0.40856030583381653,0.3993344306945801
14,20,0.40856030583381653,0.40432611107826233
15,21,0.3929961025714874,0.4009983241558075
14,21,0.29182878136634827,0.24625623226165771
17,21,0.28015562891960144,0.30948418378829956
19,13,0.27626457810401917,0.3344425857067108
8,21,0.2723735272884369,0.28785356879234314
21,6,0.2684824764728546,0.2562395930290222
19,31,0.26070037484169006,0.35773709416389465
21,23,0.24902723729610443,0.25790348649024963
21,2,0.24513618648052216,0.23960065841674805
19,21,0.2373540848493576,0.22961729764938354
20,10,0.22568093240261078,0.24126455187797546
15,20,0.2217898815870285,0.23294508457183838
4,31,0.21011672914028168,0.2146422564983368
4,21,0.18677042424678802,0.25124791264533997
6,28,0.18287937343120575,0.19134774804115295
2,1,0.1750972718000412,0.19800332188606262
10,23,0.17120622098445892,0.1763727068901062
18,18,0.15564201772212982,0.1946755349636078
3,24,0.15175096690654755,0.1480865180492401
2,16,0.15175096690654755,0.14309483766555786
21,19,0.14785991609096527,0.18136438727378845
14,26,0.14785991609096527,0.16971713304519653
13,24,0.143968865275383,0.13144758343696594
21,7,0.143968865275383,0.12146422266960144
17,18,0.13618676364421844,0.16472545266151428
14,14,0.13229571282863617,0.1381031572818756
5,9,0.1284046620130539,0.1181364357471466
2,29,0.1284046620130539,0.12479200959205627
2,27,0.12451361864805222,0.1564059853553772
4,6,0.12062256783246994,0.0981697142124176
3,31,0.12062256783246994,0.11314475536346436
8,9,0.12062256783246994,0.08652245998382568
3,5,0.11673151701688766,0.10981696844100952
2,13,0.11673151701688766,0.1281197965145111
