layer,head,val_acc,train_acc
19,8,0.27272725105285645,0.330739289522171
20,4,0.19999998807907104,0.24513618648052216
19,17,0.1818181723356247,0.1906614750623703
3,22,0.17272727191448212,0.18677042424678802
14,4,0.17272727191448212,0.2723735272884369
15,27,0.15454545617103577,0.20233462750911713
8,27,0.15454545617103577,0.16342411935329437
21,6,0.145454540848732,0.15564201772212982
21,5,0.12727272510528564,0.2217898815870285
15,15,0.12727272510528564,0.14007781445980072
13,24,0.12727272510528564,0.10894941538572311
15,11,0.12727272510528564,0.1906614750623703
14,18,0.11818181723356247,0.15564201772212982
5,10,0.1090909093618393,0.04280155524611473
19,9,0.1090909093618393,0.19844357669353485
0,19,0.1090909093618393,0.04280155524611473
6,26,0.1090909093618393,0.023346303030848503
21,23,0.09999999403953552,0.10894941538572311
4,21,0.09999999403953552,0.12451361864805222
17,18,0.09999999403953552,0.12062256783246994
15,26,0.09999999403953552,0.2062256783246994
14,22,0.09999999403953552,0.06614785641431808
14,21,0.09090908616781235,0.12451361864805222
15,5,0.09090908616781235,0.038910504430532455
12,3,0.09090908616781235,0.03501945361495018
4,27,0.09090908616781235,0.06614785641431808
23,6,0.09090908616781235,0.03501945361495018
4,20,0.09090908616781235,0.05836575850844383
11,9,0.09090908616781235,0.05058365687727928
7,11,0.09090908616781235,0.09338521212339401
8,16,0.09090908616781235,0.046692606061697006
5,26,0.09090908616781235,0.05447470769286156
14,16,0.08181817829608917,0.07392995804548264
8,21,0.08181817829608917,0.13229571282863617
19,21,0.08181817829608917,0.13229571282863617
19,26,0.08181817829608917,0.07392995804548264
7,12,0.08181817829608917,0.06614785641431808
7,30,0.08181817829608917,0.06614785641431808
23,18,0.08181817829608917,0.07392995804548264
0,23,0.08181817829608917,0.07392995804548264
10,2,0.08181817829608917,0.06614785641431808
19,13,0.08181817829608917,0.11284046620130539
18,30,0.072727270424366,0.09338521212339401
19,27,0.072727270424366,0.10894941538572311
2,24,0.072727270424366,0.05447470769286156
23,16,0.072727270424366,0.04280155524611473
9,13,0.072727270424366,0.07782100886106491
8,9,0.072727270424366,0.05836575850844383
23,2,0.072727270424366,0.05447470769286156
13,23,0.072727270424366,0.08171205967664719
