layer,head,val_acc,train_acc,epochs
15,11,0.963,0.975,202
15,2,0.930,0.954,266
15,13,0.914,0.937,238
14,23,0.885,0.914,155
15,27,0.790,0.811,131
9,18,0.728,0.766,506
15,1,0.653,0.679,407
14,18,0.618,0.659,391
15,8,0.611,0.628,384
12,18,0.586,0.633,398
15,29,0.579,0.594,499
12,24,0.563,0.603,440
12,28,0.519,0.552,516
15,15,0.516,0.550,258
15,22,0.499,0.508,683
12,9,0.483,0.513,503
11,21,0.480,0.503,960
15,31,0.470,0.503,260
20,29,0.431,0.456,1231
17,18,0.428,0.458,498
15,23,0.417,0.460,321
19,8,0.415,0.451,1337
15,18,0.406,0.444,669
12,21,0.400,0.437,709
20,10,0.369,0.399,608
14,2,0.367,0.381,479
15,14,0.362,0.397,618
16,24,0.355,0.381,1750
11,17,0.344,0.393,689
14,29,0.339,0.359,541
16,26,0.336,0.369,656
15,25,0.330,0.345,308
19,5,0.328,0.362,1775
21,6,0.328,0.379,845
13,7,0.327,0.344,783
12,6,0.324,0.381,1120
19,21,0.324,0.358,793
20,4,0.322,0.365,1150
12,14,0.316,0.352,483
14,10,0.314,0.361,504
14,17,0.313,0.349,604
16,17,0.306,0.328,1879
12,13,0.298,0.328,608
16,8,0.295,0.323,629
19,17,0.294,0.306,961
18,25,0.292,0.318,685
14,22,0.290,0.323,515
19,9,0.286,0.302,1055
21,23,0.284,0.339,1263
16,11,0.283,0.309,417
