layer,head,val_acc,train_acc,epochs
12,21,0.7080000042915344,0.7397142648696899,363
12,18,0.6190000176429749,0.6382856965065002,346
9,18,0.4663333296775818,0.5015714168548584,475
12,20,0.34966665506362915,0.4025714099407196,366
14,2,0.3423333168029785,0.37457141280174255,281
14,26,0.3149999976158142,0.3512856960296631,255
12,6,0.3123333156108856,0.332571417093277,808
13,7,0.31066665053367615,0.3498571515083313,620
12,16,0.31033334136009216,0.34200000762939453,474
12,30,0.296999990940094,0.34528571367263794,878
15,11,0.29499998688697815,0.35185712575912476,371
15,23,0.2943333387374878,0.32514286041259766,308
14,21,0.2866666615009308,0.32257142663002014,867
15,2,0.28299999237060547,0.3312857151031494,612
7,22,0.2746666669845581,0.3034285604953766,431
11,17,0.2693333327770233,0.30071428418159485,730
17,11,0.26466667652130127,0.30242857336997986,564
19,5,0.25866666436195374,0.29585713148117065,2429
19,8,0.2486666589975357,0.2978571355342865,2699
15,13,0.24400000274181366,0.29999998211860657,423
14,10,0.24066665768623352,0.26571428775787354,455
12,24,0.23899999260902405,0.2792856991291046,991
11,18,0.23199999332427979,0.26985713839530945,815
12,2,0.22866666316986084,0.25685712695121765,705
14,23,0.22166666388511658,0.2817142903804779,153
19,1,0.21833333373069763,0.2531428635120392,1365
11,27,0.21833333373069763,0.261428564786911,1053
12,9,0.21799999475479126,0.26914286613464355,649
11,21,0.21699999272823334,0.2567142844200134,824
10,17,0.21533332765102386,0.2459999918937683,1153
5,14,0.21466666460037231,0.2611428499221802,659
12,28,0.21400000154972076,0.2669999897480011,246
18,25,0.21066667139530182,0.24785713851451874,1162
12,25,0.20999999344348907,0.25028571486473083,736
15,27,0.2083333283662796,0.27457141876220703,597
12,12,0.2070000022649765,0.2401428520679474,815
7,20,0.20600000023841858,0.2409999966621399,384
11,6,0.20600000023841858,0.25285714864730835,789
10,12,0.20499999821186066,0.2532857060432434,1044
13,11,0.20399999618530273,0.2394285649061203,1259
15,1,0.2029999941587448,0.24500000476837158,391
21,23,0.2006666660308838,0.24885714054107666,2282
10,19,0.20033332705497742,0.24785713851451874,462
20,29,0.19366666674613953,0.22257143259048462,635
12,13,0.1926666647195816,0.24285714328289032,1288
17,18,0.19066666066646576,0.2304285615682602,253
15,8,0.1899999976158142,0.25442856550216675,343
0,12,0.1886666715145111,0.21128571033477783,471
9,15,0.18566666543483734,0.22542856633663177,470
0,5,0.18566666543483734,0.2070000022649765,821
