layer,head,val_acc,train_acc,epochs
15,11,0.957,0.977,97
15,2,0.921,0.957,96
15,13,0.903,0.936,84
14,23,0.887,0.911,84
15,27,0.791,0.818,107
9,18,0.737,0.783,271
15,1,0.646,0.687,266
14,18,0.620,0.661,171
15,8,0.594,0.633,136
12,18,0.578,0.656,145
12,24,0.572,0.610,259
15,29,0.558,0.600,146
15,15,0.524,0.553,121
12,28,0.498,0.556,229
15,22,0.487,0.531,168
15,31,0.483,0.516,148
12,9,0.481,0.527,292
11,21,0.459,0.514,361
15,23,0.430,0.459,160
17,18,0.430,0.460,208
20,29,0.427,0.458,520
19,8,0.422,0.442,254
12,21,0.386,0.461,242
15,18,0.386,0.475,216
20,10,0.375,0.407,272
11,17,0.358,0.382,334
15,14,0.358,0.404,377
16,24,0.347,0.380,609
19,5,0.333,0.377,635
20,4,0.332,0.363,527
12,6,0.330,0.384,463
21,6,0.329,0.379,313
14,2,0.326,0.415,129
16,26,0.322,0.367,340
12,14,0.318,0.368,230
19,21,0.317,0.363,341
14,10,0.317,0.376,206
14,29,0.313,0.371,301
15,25,0.311,0.443,77
13,7,0.302,0.356,319
17,11,0.295,0.321,321
21,23,0.293,0.334,426
16,17,0.287,0.350,566
18,25,0.286,0.327,437
14,22,0.284,0.340,184
16,8,0.272,0.332,264
21,3,0.256,0.293,505
21,2,0.245,0.307,271
11,27,0.245,0.300,685
14,11,0.240,0.294,749
