layer,head,val_acc,train_acc,epochs
15,11,0.959,0.976,74
15,13,0.914,0.939,64
15,2,0.913,0.956,63
14,23,0.885,0.917,67
15,27,0.797,0.828,81
9,18,0.743,0.784,200
15,1,0.653,0.668,164
14,18,0.639,0.647,114
12,18,0.595,0.658,122
15,8,0.594,0.635,111
12,24,0.570,0.594,225
15,29,0.562,0.597,155
12,28,0.533,0.539,213
15,15,0.510,0.571,99
12,9,0.486,0.523,292
15,31,0.475,0.537,99
11,21,0.474,0.517,451
15,22,0.473,0.563,80
20,29,0.427,0.449,521
17,18,0.418,0.461,133
15,23,0.409,0.462,91
19,8,0.400,0.458,464
15,18,0.398,0.456,227
20,10,0.371,0.397,211
11,17,0.366,0.383,261
12,21,0.358,0.482,155
15,14,0.357,0.396,269
14,2,0.348,0.408,91
14,29,0.343,0.364,285
21,6,0.339,0.366,266
16,26,0.319,0.355,157
19,5,0.318,0.355,670
19,21,0.314,0.361,308
12,14,0.311,0.361,209
13,7,0.307,0.337,214
20,4,0.307,0.347,312
14,17,0.301,0.342,164
15,25,0.300,0.625,42
14,10,0.294,0.367,165
18,25,0.289,0.322,401
14,27,0.288,0.329,250
21,23,0.284,0.330,401
12,13,0.277,0.340,265
17,11,0.277,0.327,310
14,22,0.275,0.353,171
16,11,0.267,0.322,212
19,18,0.266,0.300,464
15,10,0.263,0.317,394
21,2,0.259,0.300,322
19,9,0.256,0.305,329
