layer,head,val_acc,train_acc,epochs
15,11,0.9663333296775818,0.9854285717010498,320
14,18,0.9363332986831665,0.9524285793304443,445
15,13,0.9226666688919067,0.9407142996788025,318
15,2,0.906000018119812,0.9361428618431091,340
3,18,0.8843333125114441,0.8992857336997986,1629
15,29,0.8786666393280029,0.9038571119308472,489
14,23,0.859666645526886,0.8914285898208618,374
11,21,0.8536666631698608,0.8895714282989502,877
15,27,0.8246666789054871,0.855571448802948,251
9,18,0.8086666464805603,0.8381428718566895,410
15,22,0.7693333029747009,0.7989999651908875,400
12,24,0.7680000066757202,0.7857142686843872,593
15,18,0.7666666507720947,0.8014285564422607,773
14,22,0.7559999823570251,0.7877143025398254,822
12,28,0.7396666407585144,0.7892857193946838,413
15,8,0.7386666536331177,0.7607142925262451,585
11,19,0.7353333234786987,0.7718571424484253,2076
15,1,0.7306666374206543,0.7559999823570251,462
12,13,0.7300000190734863,0.7558571100234985,636
15,23,0.7203333377838135,0.7360000014305115,381
8,1,0.6700000166893005,0.717714250087738,1433
15,20,0.6639999747276306,0.6762856841087341,268
15,3,0.6439999938011169,0.6855714321136475,1466
8,6,0.6363333463668823,0.6597142815589905,857
14,27,0.6316666603088379,0.6548571586608887,828
11,18,0.6286666393280029,0.6475714445114136,827
20,10,0.6233333349227905,0.6621428728103638,703
14,2,0.6169999837875366,0.6451428532600403,568
14,8,0.6023333072662354,0.6428571343421936,1326
15,15,0.5976666808128357,0.6245714426040649,715
19,15,0.5916666388511658,0.6182857155799866,2911
19,14,0.5913333296775818,0.5979999899864197,1020
9,11,0.5823333263397217,0.6072856783866882,2652
10,11,0.5799999833106995,0.5979999899864197,1263
12,18,0.5796666741371155,0.6191428303718567,432
2,5,0.5756666660308838,0.6052857041358948,2245
19,9,0.5723333358764648,0.5988571643829346,1142
15,10,0.5713333487510681,0.5954285860061646,1025
3,0,0.5640000104904175,0.5765714049339294,3256
14,29,0.5640000104904175,0.6118571162223816,750
19,8,0.562666654586792,0.5918571352958679,1319
14,0,0.5603333115577698,0.5825714468955994,1261
11,17,0.5590000152587891,0.5719999670982361,491
7,8,0.5509999990463257,0.5884285569190979,773
19,21,0.5476666688919067,0.5688571333885193,897
19,17,0.547333300113678,0.5652856826782227,1089
12,25,0.5426666736602783,0.5824285745620728,1149
14,21,0.5406666398048401,0.5617142915725708,1136
21,3,0.5383333563804626,0.5579999685287476,1661
19,5,0.5376666784286499,0.5477142930030823,2628
