layer,head,val_acc,train_acc,epochs
12,21,0.8683333396911621,0.8975714445114136,455
9,18,0.793666660785675,0.8054285645484924,657
12,18,0.7759999632835388,0.8165714144706726,476
8,1,0.6206666827201843,0.6497142910957336,1583
14,21,0.6089999675750732,0.6401428580284119,749
5,3,0.5999999642372131,0.6190000176429749,2449
12,20,0.5899999737739563,0.6158571243286133,475
14,15,0.5873333215713501,0.6187142729759216,1740
15,3,0.5806666612625122,0.6165714263916016,1821
12,24,0.5766666531562805,0.6041428446769714,503
14,2,0.5583333373069763,0.5945714116096497,359
7,22,0.5529999732971191,0.5707142949104309,717
11,18,0.5443333387374878,0.5808571577072144,694
10,9,0.5370000004768372,0.5612857341766357,625
14,5,0.5243332982063293,0.5622857213020325,556
14,26,0.512333333492279,0.5231428742408752,456
13,7,0.5093333125114441,0.548714280128479,697
14,22,0.5083333253860474,0.552142858505249,606
12,19,0.503000020980835,0.5307142734527588,897
7,15,0.4986666738986969,0.520714282989502,522
2,5,0.4983333349227905,0.5362856984138489,2365
12,6,0.49666666984558105,0.5289999842643738,898
10,17,0.4886666536331177,0.5067142844200134,797
10,4,0.4846666753292084,0.5118571519851685,2459
7,8,0.48100000619888306,0.4959999918937683,1373
12,2,0.4749999940395355,0.50342857837677,623
9,11,0.46799999475479126,0.49371427297592163,1677
12,30,0.46133333444595337,0.49871426820755005,750
2,9,0.45533332228660583,0.48428571224212646,4771
12,16,0.4546666741371155,0.49228569865226746,528
11,12,0.4543333351612091,0.4828571379184723,962
14,16,0.45100000500679016,0.4731428623199463,1667
21,10,0.4476666748523712,0.46942856907844543,5268
8,2,0.4436666667461395,0.4585714340209961,2188
4,1,0.44200000166893005,0.4684285521507263,4378
4,18,0.43833333253860474,0.4747142791748047,4893
10,7,0.43566665053367615,0.46799999475479126,962
10,12,0.43433332443237305,0.46228569746017456,1224
8,5,0.4286666512489319,0.4674285650253296,1739
11,17,0.42766666412353516,0.46628570556640625,638
11,19,0.42399999499320984,0.4412856996059418,3055
7,3,0.4153333306312561,0.42100000381469727,1107
16,5,0.4153333306312561,0.45728570222854614,1412
15,23,0.414000004529953,0.44200000166893005,478
17,10,0.4116666615009308,0.4440000057220459,792
10,19,0.40433332324028015,0.44600000977516174,917
5,14,0.4020000100135803,0.4569999873638153,1246
9,19,0.398666650056839,0.43614286184310913,1355
9,23,0.3956666588783264,0.4129999876022339,2860
10,6,0.3956666588783264,0.4384285807609558,1928
