layer,head,val_acc,train_acc,epochs
15,11,0.9699999690055847,0.9855714440345764,154
14,18,0.9303333163261414,0.9542856812477112,194
15,13,0.9203333258628845,0.9449999928474426,155
15,2,0.9106666445732117,0.9369999766349792,148
11,21,0.8796666860580444,0.9149999618530273,326
15,29,0.8796666860580444,0.9021428227424622,201
14,23,0.8650000095367432,0.8894285559654236,163
15,27,0.8353333473205566,0.8529999852180481,128
9,18,0.8146666288375854,0.8864285349845886,246
15,18,0.7773333191871643,0.8044285774230957,306
12,24,0.768666684627533,0.8248571157455444,443
12,28,0.765666663646698,0.8045713901519775,286
15,22,0.7636666297912598,0.8077142834663391,141
11,19,0.7496666312217712,0.8281428217887878,673
15,1,0.7440000176429749,0.7619999647140503,313
14,22,0.7436666488647461,0.7860000133514404,285
15,8,0.7293333411216736,0.7739999890327454,263
12,13,0.7289999723434448,0.7641428709030151,372
15,23,0.7043333053588867,0.7535713911056519,196
8,1,0.7020000219345093,0.7774285674095154,548
15,20,0.6539999842643738,0.6919999718666077,194
15,3,0.6503333449363708,0.7108571529388428,528
8,6,0.6293333172798157,0.6969999670982361,378
11,18,0.628333330154419,0.6962857246398926,354
20,10,0.6259999871253967,0.6751428246498108,248
14,27,0.625333309173584,0.6727142930030823,317
14,8,0.6200000047683716,0.6620000004768372,432
14,2,0.6076666712760925,0.6752856969833374,194
15,15,0.6010000109672546,0.6602857112884521,162
12,18,0.593666672706604,0.6562857031822205,148
19,15,0.5820000171661377,0.6361428499221802,533
19,9,0.5786666870117188,0.592714250087738,347
14,29,0.5756666660308838,0.6101428270339966,273
10,11,0.5726666450500488,0.6517142653465271,381
2,5,0.5703333020210266,0.6204285621643066,1474
19,14,0.5683333277702332,0.604285717010498,370
9,11,0.5566666722297668,0.6552857160568237,463
19,17,0.5540000200271606,0.5758571624755859,385
19,8,0.5540000200271606,0.6005713939666748,478
3,0,0.5536666512489319,0.5915714502334595,1537
12,25,0.5479999780654907,0.588857114315033,464
15,10,0.5476666688919067,0.6214285492897034,301
19,21,0.5456666350364685,0.5854285359382629,448
7,8,0.543666660785675,0.6137142777442932,917
14,0,0.5389999747276306,0.6019999980926514,423
11,17,0.5363333225250244,0.5981428623199463,318
10,17,0.5346666574478149,0.590571403503418,360
14,21,0.53166663646698,0.6114285588264465,314
11,25,0.5273333191871643,0.5962857007980347,446
19,5,0.5253333449363708,0.5627142786979675,701
