layer,head,val_acc,train_acc,epochs
15,11,0.9723333120346069,0.9845713973045349,86
14,18,0.9396666288375854,0.9468571543693542,90
15,13,0.9160000085830688,0.9452856779098511,92
15,2,0.9099999666213989,0.9391428232192993,107
15,29,0.8880000114440918,0.8930000066757202,182
3,18,0.8723333477973938,0.8897143006324768,557
14,23,0.8659999966621399,0.8897143006324768,119
11,21,0.8529999852180481,0.8897143006324768,241
15,27,0.8183333277702332,0.8629999756813049,88
9,18,0.8180000185966492,0.8920000195503235,257
15,22,0.7749999761581421,0.8291428685188293,141
14,22,0.7636666297912598,0.7828571200370789,292
15,18,0.7593333125114441,0.7854285836219788,183
12,28,0.7573333382606506,0.826285719871521,269
12,24,0.7556666731834412,0.7972856760025024,275
11,19,0.7409999966621399,0.7994285821914673,426
15,8,0.7366666793823242,0.7814285755157471,207
12,13,0.734666645526886,0.7822856903076172,382
15,23,0.7293333411216736,0.7505714297294617,170
8,1,0.7160000205039978,0.7627142667770386,668
15,1,0.7146666646003723,0.7565714120864868,176
15,20,0.6603333353996277,0.6949999928474426,96
15,3,0.6366666555404663,0.6840000152587891,403
20,10,0.6293333172798157,0.6639999747276306,260
8,6,0.6269999742507935,0.6984285712242126,382
11,18,0.6233333349227905,0.6741428375244141,202
14,27,0.6163333058357239,0.6585714221000671,223
14,2,0.6159999966621399,0.657714307308197,142
15,15,0.6036666631698608,0.6694285869598389,79
12,18,0.6006666421890259,0.6915714144706726,148
14,29,0.5949999690055847,0.6157142519950867,314
14,8,0.5949999690055847,0.6501428484916687,424
10,11,0.5786666870117188,0.6278571486473083,536
7,8,0.5646666884422302,0.6102856993675232,411
19,14,0.5576666593551636,0.5765714049339294,311
14,0,0.5543333292007446,0.5837143063545227,600
15,10,0.550000011920929,0.6082857251167297,391
9,11,0.550000011920929,0.615142822265625,469
3,0,0.5479999780654907,0.5618571639060974,926
12,25,0.54666668176651,0.588857114315033,462
19,17,0.5453333258628845,0.5634285807609558,303
11,25,0.5393333435058594,0.5761428475379944,513
10,17,0.5386666655540466,0.5718571543693542,420
11,1,0.5356666445732117,0.5594285726547241,617
19,21,0.5306666493415833,0.5741428732872009,341
14,21,0.5296666622161865,0.5868571400642395,319
12,6,0.5206666588783264,0.5594285726547241,360
19,5,0.5189999938011169,0.5295714139938354,652
11,17,0.5189999938011169,0.5868571400642395,138
14,26,0.5170000195503235,0.5678571462631226,141
