layer,head,val_acc,train_acc,epochs
15,11,0.9473333358764648,0.9480000138282776,10142
14,18,0.6413333415985107,0.6368571519851685,19900
15,13,0.6309999823570251,0.6438571214675903,6180
15,27,0.6113333106040955,0.62628573179245,10367
15,15,0.4846666753292084,0.48414283990859985,4920
14,23,0.44733333587646484,0.4449999928474426,7156
15,20,0.3499999940395355,0.37214285135269165,5005
19,8,0.2746666669845581,0.2765714228153229,20000
14,22,0.24933333694934845,0.24042856693267822,13716
20,4,0.22233332693576813,0.23757143318653107,20000
21,7,0.22200000286102295,0.2264285683631897,20000
19,9,0.21766667068004608,0.21971428394317627,20000
15,26,0.2096666693687439,0.19871428608894348,3848
14,4,0.20366665720939636,0.20657142996788025,2729
19,17,0.20033332705497742,0.18128570914268494,20000
15,29,0.19900000095367432,0.21714285016059875,4688
21,23,0.19599999487400055,0.19671428203582764,20000
3,18,0.1850000023841858,0.17957141995429993,20000
17,21,0.18400000035762787,0.17471428215503693,5576
15,22,0.17233332991600037,0.1809999942779541,3751
8,27,0.1706666648387909,0.16414286196231842,19717
21,5,0.16233332455158234,0.16914285719394684,20000
14,26,0.16200000047683716,0.16128571331501007,2727
7,11,0.15933333337306976,0.15771427750587463,9760
15,2,0.1589999943971634,0.17028571665287018,4144
21,2,0.1550000011920929,0.16985714435577393,20000
19,21,0.15433333814144135,0.17028571665287018,20000
14,2,0.15333333611488342,0.15199999511241913,1210
18,18,0.15299999713897705,0.14828571677207947,14881
15,23,0.15066666901111603,0.14742857217788696,1553
19,31,0.14800000190734863,0.16171428561210632,20000
21,19,0.14766666293144226,0.16128571331501007,4124
11,18,0.14433333277702332,0.15142856538295746,5148
17,28,0.1433333307504654,0.14385713636875153,9711
14,29,0.14233332872390747,0.14414285123348236,8243
21,6,0.14166666567325592,0.14414285123348236,20000
19,14,0.1379999965429306,0.13214285671710968,12318
12,20,0.1366666704416275,0.1322857141494751,1370
0,10,0.13566666841506958,0.12957142293453217,20000
12,5,0.13500000536441803,0.13514286279678345,4640
14,14,0.13500000536441803,0.14271427690982819,6466
19,18,0.13500000536441803,0.136428564786911,20000
15,8,0.13433332741260529,0.14514285326004028,1257
15,1,0.1340000033378601,0.12728571891784668,4677
13,24,0.1340000033378601,0.1395714282989502,17922
5,9,0.13233333826065063,0.1258571445941925,3500
16,2,0.13233333826065063,0.13171428442001343,3733
4,21,0.13199999928474426,0.13242857158184052,10597
15,31,0.1313333362340927,0.13942857086658478,418
3,22,0.13099999725818634,0.13271428644657135,20000
